id,title,author,publisher,isbn_10,isbn_13,cover_id,owned,date_acquired,source,price,binding,condition,dust_jacket,dust_jacket_condition,signed_by_author,is_collectible,sort_name,sort_title,google_info,book_json,collectible_notes,notes,publication_date,number_of_pages,subtitle
15,"A Hobbit, a Wardrobe, and a Great War","Joseph Loconte","Nelson Books",0718091450,9780718091453,http://books.google.com/books/content?id=wNGrDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2025-04-26,"Estate Sale",2,PB,VG,0,,0,0,"Loconte Joseph A Hobbit, a Wardrobe, and a Great War","Hobbit, a Wardrobe, and a Great War",http://books.google.com/books?id=wNGrDAEACAAJ&dq=isbn:9780718091453&hl=&source=gbs_api,"{'title': 'A Hobbit, a Wardrobe, and a Great War', 'subtitle': 'How J.R.R. Tolkien and C.S. Lewis Rediscovered Faith, Friendship, and Heroism in the Cataclysm of 1914-1918', 'authors': ['Joseph Loconte'], 'publisher': 'Nelson Books', 'publishedDate': '2017-02-07', 'description': 'The untold story of how the First World War shaped the lives, faith, and writings of J. R. R. Tolkien and C. S. Lewis--now in paperback. The First World War laid waste to a continent and permanently altered the political and religious landscape of the West. For a generation of men and women, it brought the end of innocence--and the end of faith. Yet for J. R. R. Tolkien and C. S. Lewis, the Great War deepened their spiritual quest. Both men served as soldiers on the Western Front, survived the trenches, and used the experience of that conflict to ignite their Christian imagination. Had there been no Great War, there would have been noHobbit, no Lord of the Rings, no Narnia, and perhaps no conversion to Christianity by C. S. Lewis. Unlike a generation of young writers who lost faith in the God of the Bible, Tolkien and Lewis produced epic stories infused with the themes of guilt and grace, sorrow and consolation. Giving an unabashedly Christian vision of hope in a world tortured by doubt and disillusionment, the two writers created works that changed the course of literature and shaped the faith of millions. This is the first book to explore their work in light of the spiritual crisis sparked by the conflict.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0718091450'}, {'type': 'ISBN_13', 'identifier': '9780718091453'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 0, 'printType': 'BOOK', 'categories': ['Biography & Autobiography'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=wNGrDAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=wNGrDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=wNGrDAEACAAJ&dq=isbn:9780718091453&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=wNGrDAEACAAJ&dq=isbn:9780718091453&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/A_Hobbit_a_Wardrobe_and_a_Great_War.html?hl=&id=wNGrDAEACAAJ'}","","The untold story of how the First World War shaped the lives, faith, and writings of J. R. R. Tolkien and C. S. Lewis--now in paperback. The First World War laid waste to a continent and permanently altered the political and religious landscape of the West. For a generation of men and women, it brought the end of innocence--and the end of faith. Yet for J. R. R. Tolkien and C. S. Lewis, the Great War deepened their spiritual quest. Both men served as soldiers on the Western Front, survived the trenches, and used the experience of that conflict to ignite their Christian imagination. Had there been no Great War, there would have been noHobbit, no Lord of the Rings, no Narnia, and perhaps no conversion to Christianity by C. S. Lewis. Unlike a generation of young writers who lost faith in the God of the Bible, Tolkien and Lewis produced epic stories infused with the themes of guilt and grace, sorrow and consolation. Giving an unabashedly Christian vision of hope in a world tortured by doubt and disillusionment, the two writers created works that changed the course of literature and shaped the faith of millions. This is the first book to explore their work in light of the spiritual crisis sparked by the conflict.",2017-02-07,0,
16,"Beren and Lúthien","John Ronald Reuel Tolkien","Houghton Mifflin",1328791823,9781328791825,http://books.google.com/books/content?id=Ak8VvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-10-09,Amazon,24.49,HC,AN,1,AN,0,1,"Tolkien John Beren and Lúthien","Beren and Lúthien",http://books.google.com/books?id=Ak8VvgAACAAJ&dq=isbn:9781328791825&hl=&source=gbs_api,"{'title': 'Beren and Lúthien', 'authors': ['John Ronald Reuel Tolkien'], 'publisher': 'Houghton Mifflin', 'publishedDate': '2017', 'description': 'An important chapter in the saga of ""The Silmarillion,"" first conceived by Tolkien at the end of his service in World War I, follows the romance between an immortal elf and a mortal whose worthiness is put to an impossible test.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '1328791823'}, {'type': 'ISBN_13', 'identifier': '9781328791825'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 288, 'printType': 'BOOK', 'categories': ['Fiction'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=Ak8VvgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=Ak8VvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=Ak8VvgAACAAJ&dq=isbn:9781328791825&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=Ak8VvgAACAAJ&dq=isbn:9781328791825&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Beren_and_L%C3%BAthien.html?hl=&id=Ak8VvgAACAAJ'}","","An important chapter in the saga of ""The Silmarillion,"" first conceived by Tolkien at the end of his service in World War I, follows the romance between an immortal elf and a mortal whose worthiness is put to an impossible test.",2017,288,
17,"J.R.R. Tolkien","Humphrey Carpenter","William Morrow",0618057021,9780618057023,http://books.google.com/books/content?id=JeXFmc90o7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2025-04-18,Amazon,15.99,PB,AN,0,,0,0,"Carpenter Humphrey J.R.R. Tolkien","J.R.R. Tolkien",http://books.google.com/books?id=JeXFmc90o7YC&dq=isbn:9780618057023&hl=&source=gbs_api,"{'title': 'J.R.R. Tolkien', 'subtitle': 'A Biography', 'authors': ['Humphrey Carpenter'], 'publisher': 'William Morrow', 'publishedDate': '2000', 'description': 'A biography of J.R.R. Tolkien, creator of the fictional world of Middle-Earth, discussing his early life, his career as a scholar and teacher, his decision to write and the development of his work.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0618057021'}, {'type': 'ISBN_13', 'identifier': '9780618057023'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 308, 'printType': 'BOOK', 'categories': ['Biography & Autobiography'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '0.4.1.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=JeXFmc90o7YC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=JeXFmc90o7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=JeXFmc90o7YC&dq=isbn:9780618057023&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=JeXFmc90o7YC&dq=isbn:9780618057023&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/J_R_R_Tolkien.html?hl=&id=JeXFmc90o7YC'}","","A biography of J.R.R. Tolkien, creator of the fictional world of Middle-Earth, discussing his early life, his career as a scholar and teacher, his decision to write and the development of his work.",2000,308,
18,Tolkien,"Humphrey Carpenter","Boston : Houghton Mifflin",,,http://books.google.com/books/content?id=OYdbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2025-05-09,,7.89,HC,GO,1,GO,0,1,"Carpenter Humphrey Tolkien",Tolkien,http://books.google.com/books?id=OYdbAAAAMAAJ&dq=isbn:9780395253601&hl=&source=gbs_api,"{'title': 'Tolkien', 'subtitle': 'A Biography', 'authors': ['Humphrey Carpenter'], 'publisher': 'Boston : Houghton Mifflin', 'publishedDate': '1977', 'description': 'The authorized biography of J.R.R. Tolkien, author of the epic ""The Lord of the Rings.""', 'industryIdentifiers': [{'type': 'OTHER', 'identifier': 'UOM:39015046463884'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 328, 'printType': 'BOOK', 'categories': ['Biography & Autobiography'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '2.4.2.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=OYdbAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=OYdbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=OYdbAAAAMAAJ&dq=isbn:9780395253601&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=OYdbAAAAMAAJ&dq=isbn:9780395253601&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Tolkien.html?hl=&id=OYdbAAAAMAAJ'}","First American edition, first printing.","The authorized biography of J.R.R. Tolkien, author of the epic ""The Lord of the Rings.""",1977,328,
19,"Tales from the Perilous Realm","John Ronald Reuel Tolkien","Houghton Mifflin Harcourt",0547154119,9780547154114,http://books.google.com/books/content?id=7GNfxfH0ZU4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,2025-04-22,Amazon,13.47,HC,AN,1,AN,0,1,"Tolkien John Tales from the Perilous Realm","Tales from the Perilous Realm",http://books.google.com/books?id=7GNfxfH0ZU4C&dq=isbn:9780547154114&hl=&source=gbs_api,"{'title': 'Tales from the Perilous Realm', 'authors': ['John Ronald Reuel Tolkien'], 'publisher': 'Houghton Mifflin Harcourt', 'publishedDate': '2008', 'description': 'Never before published in a single volume, Tolkien\'s four novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") are gathered together in a fully illustrated set.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0547154119'}, {'type': 'ISBN_13', 'identifier': '9780547154114'}], 'readingModes': {'text': False, 'image': True}, 'pageCount': 444, 'printType': 'BOOK', 'categories': ['Fiction'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '1.4.5.0.preview.1', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=7GNfxfH0ZU4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=7GNfxfH0ZU4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=7GNfxfH0ZU4C&printsec=frontcover&dq=isbn:9780547154114&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=7GNfxfH0ZU4C&dq=isbn:9780547154114&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Tales_from_the_Perilous_Realm.html?hl=&id=7GNfxfH0ZU4C'}","","Never before published in a single volume, Tolkien's four novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") are gathered together in a fully illustrated set.",2008,444,
20,"The Adventures of Tom Bombadil","J R R Tolkien","William Morrow",006341354X,9780063413542,http://books.google.com/books/content?id=V7-W0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-12-13,Amazon,10.13,PB,AN,0,,0,1,"Tolkien J The Adventures of Tom Bombadil","Adventures of Tom Bombadil",http://books.google.com/books?id=V7-W0AEACAAJ&dq=isbn:9780063413542&hl=&source=gbs_api,"{'title': 'The Adventures of Tom Bombadil', 'authors': ['J R R Tolkien'], 'publisher': 'William Morrow', 'publishedDate': '2024-08-20', 'description': 'A revised and expanded edition of Tolkien\'s own Hobbit-inspired poetry, including previously unpublished poems and notes, and beautiful illustrations by Narnia artist Pauline Baynes. One of the most intriguing characters in The Lord of the Rings, the amusing and enigmatic Tom Bombadil also appears in verses said to have been written by Hobbits and preserved in the ""Red Book"" with stories of Bilbo and Frodo Baggins and their friends. The Adventures of Tom Bombadil collects these and other poems, mainly concerned with legends and jests of the Shire at the end of the Third Age. This edition includes earlier versions of some of Tolkien\'s poems, a fragment of a prose story with Tom Bombadil, comprehensive notes by acclaimed Tolkien scholars Christina Scull and Wayne G. Hammond, and stunning illustrations by Narnia artist Pauline Baynes.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '006341354X'}, {'type': 'ISBN_13', 'identifier': '9780063413542'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 0, 'printType': 'BOOK', 'categories': ['Fiction'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=V7-W0AEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=V7-W0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=V7-W0AEACAAJ&dq=isbn:9780063413542&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=V7-W0AEACAAJ&dq=isbn:9780063413542&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Adventures_of_Tom_Bombadil.html?hl=&id=V7-W0AEACAAJ'}","","A revised and expanded edition of Tolkien's own Hobbit-inspired poetry, including previously unpublished poems and notes, and beautiful illustrations by Narnia artist Pauline Baynes. One of the most intriguing characters in The Lord of the Rings, the amusing and enigmatic Tom Bombadil also appears in verses said to have been written by Hobbits and preserved in the ""Red Book"" with stories of Bilbo and Frodo Baggins and their friends. The Adventures of Tom Bombadil collects these and other poems, mainly concerned with legends and jests of the Shire at the end of the Third Age. This edition includes earlier versions of some of Tolkien's poems, a fragment of a prose story with Tom Bombadil, comprehensive notes by acclaimed Tolkien scholars Christina Scull and Wayne G. Hammond, and stunning illustrations by Narnia artist Pauline Baynes.",2024-08-20,304,
21,"The Atlas of Middle-earth","Karen Wynn Fonstad","William Morrow Paperbacks",0618126996,9780618126996,http://books.google.com/books/content?id=kS698u96fuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-10-09,Amazon,14.99,PB,AN,0,,0,1,"Fonstad Karen The Atlas of Middle-earth","Atlas of Middle-earth",http://books.google.com/books?id=kS698u96fuQC&dq=isbn:9780618126996&hl=&source=gbs_api,"{'title': 'The Atlas of Middle-earth', 'authors': ['Karen Wynn Fonstad'], 'publisher': 'William Morrow Paperbacks', 'publishedDate': '1991', 'description': 'A guide to the geography of Middleearth. Recreates the journeys of Bilbo and Frodo and includes two-color maps and diagrams', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '0618126996'}, {'type': 'ISBN_13', 'identifier': '9780618126996'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 228, 'printType': 'BOOK', 'categories': ['Fiction'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '1.5.2.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=kS698u96fuQC&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=kS698u96fuQC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=kS698u96fuQC&dq=isbn:9780618126996&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=kS698u96fuQC&dq=isbn:9780618126996&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Atlas_of_Middle_earth.html?hl=&id=kS698u96fuQC'}","","A guide to the geography of Middle Earth. Recreates the journeys of Bilbo and Frodo and includes two-color maps and diagrams.",1991,228,
22,"The Children of Hurin (Narn i Chîn Húrin)","John Ronald Reuel Tolkien",,0618904417,9780618904419,http://books.google.com/books/content?id=wnVlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-12-30,Amazon,16.99,HC,AN,1,AN,0,1,"Tolkien John The Children of Hurin (Narn i Chîn Húrin)","Children of Hurin (Narn i Chîn Húrin)",http://books.google.com/books?id=wnVlAAAAMAAJ&dq=isbn:9780618894642&hl=&source=gbs_api,"{'title': 'Narn i Chîn Húrin', 'subtitle': 'The Tale of the Children of Húrin', 'authors': ['John Ronald Reuel Tolkien'], 'publishedDate': '2007', 'description': 'A fantasy adventure saga set in the early days of Middle-Earth features humans and elves, dwarves and dragons, orcs and dark sorcerers clashing in an epic battle between good and evil.', 'industryIdentifiers': [{'type': 'OTHER', 'identifier': 'UOM:39015069302381'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 354, 'printType': 'BOOK', 'categories': ['Fiction'], 'averageRating': 4, 'ratingsCount': 43, 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': '4.8.2.0.preview.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=wnVlAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=wnVlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=wnVlAAAAMAAJ&dq=isbn:9780618894642&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=wnVlAAAAMAAJ&dq=isbn:9780618894642&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/Narn_i_Ch%C3%AEn_H%C3%BArin.html?hl=&id=wnVlAAAAMAAJ'}","","A fantasy adventure saga set in the early days of Middle-Earth features humans and elves, dwarves and dragons, orcs and dark sorcerers clashing in an epic battle between good and evil.",2007,354,
23,"The Complete Guide to Middle-Earth","Robert Foster",HarperCollins,000853781X,9780008537814,http://books.google.com/books/content?id=BC34zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-11-10,Amazon,37.69,HC,AN,1,AN,0,1,"Foster Robert The Complete Guide to Middle-Earth","Complete Guide to Middle-Earth",http://books.google.com/books?id=BC34zgEACAAJ&dq=isbn:9780008537814&hl=&source=gbs_api,"{'title': 'The Complete Guide to Middle-Earth', 'subtitle': 'The Definitive Guide to the World of J. R. R. Tolkien', 'authors': ['Robert Foster'], 'publisher': 'HarperCollins', 'publishedDate': '2022-08-04', 'description': 'A peerless A-Z guide to the names, places and events in the world of J.R.R. Tolkien, fully illustrated in colour throughout by acclaimed Tolkien artist, Ted Nasmith.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '000853781X'}, {'type': 'ISBN_13', 'identifier': '9780008537814'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 512, 'printType': 'BOOK', 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=BC34zgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=BC34zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=BC34zgEACAAJ&dq=isbn:9780008537814&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=BC34zgEACAAJ&dq=isbn:9780008537814&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Complete_Guide_to_Middle_Earth.html?hl=&id=BC34zgEACAAJ'}","","A peerless A-Z guide to the names, places and events in the world of J.R.R. Tolkien, fully illustrated in colour throughout by acclaimed Tolkien artist, Ted Nasmith.",2022-08-04,512,"The Definitive Guide to the World of J. R. R. Tolkien"
24,"The Fall of Gondolin","J.R.R. Tolkien","Houghton Mifflin Harcourt",,9781328613042,https://github.com/mdlattimore/personal_cdn/blob/main/book_covers/fall_of_gondolin.jpg?raw=true,1,2024-12-13,Amazon,14.21,HC,AN,1,AN,0,1,"Tolkien J.R.R. The Fall of Gondolin","Fall of Gondolin",,"","","",2018,,
25,"The Fall of Númenor","J. R. R. Tolkien","William Morrow",006328068X,9780063280687,http://books.google.com/books/content?id=EgwtzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1,2024-12-13,Amazon,16.93,HC,AN,1,AN,0,1,"Tolkien J. The Fall of Númenor","Fall of Númenor",http://books.google.com/books?id=EgwtzwEACAAJ&dq=isbn:9780063280687&hl=&source=gbs_api,"{'title': 'The Fall of Númenor', 'subtitle': 'And Other Tales from the Second Age of Middle-Earth', 'authors': ['J. R. R. Tolkien'], 'publisher': 'William Morrow', 'publishedDate': '2022-11-15', 'description': 'J.R.R. Tolkien\'s writings on the Second Age of Middle-earth, collected for the first time in one volume. J.R.R. Tolkien famously described the Second Age of Middle-earth as a ""dark age, and not very much of its history is (or need be) told."" And for many years readers would need to be content with the tantalizing glimpses of it found within the pages of The Lord of the Rings and its appendices, including the forging of the Rings of Power, the building of the Barad-dûr and the rise of Sauron. It was not until Christopher Tolkien published The Silmarillion after his father\'s death that a fuller story could be told. Although much of the book\'s content concerned the First Age of Middle-earth, there were at its close two key works that revealed the tumultuous events concerning the rise and fall of the island of Númenor. Raised out of the Great Sea and gifted to the Men of Middle-earth as a reward for aiding the angelic Valar and the Elves in the defeat and capture of the Dark Lord Morgoth, the kingdom became a seat of influence and wealth; but as the Númenóreans\' power increased, the seed of their downfall would inevitably be sown, culminating in the Last Alliance of Elves and Men. Even greater insight into the Second Age would be revealed in subsequent publications, first in Unfinished Tales of Númenor and Middle-earth, then expanded upon in Christopher Tolkien\'s magisterial twelve-volume The History of Middle-earth, in which he presented and discussed a wealth of further tales written by his father, many in draft form. Now, adhering to the timeline of ""The Tale of Years"" in the appendices to The Lord of the Rings, editor Brian Sibley has assembled into one comprehensive volume a new chronicle of the Second Age of Middle-earth, told substantially in the words of J.R.R. Tolkien from the various published texts, with new illustrations in watercolor and pencil by the doyen of Tolkien art, Alan Lee.', 'industryIdentifiers': [{'type': 'ISBN_10', 'identifier': '006328068X'}, {'type': 'ISBN_13', 'identifier': '9780063280687'}], 'readingModes': {'text': False, 'image': False}, 'pageCount': 0, 'printType': 'BOOK', 'categories': ['Fiction'], 'maturityRating': 'NOT_MATURE', 'allowAnonLogging': False, 'contentVersion': 'preview-1.0.0', 'panelizationSummary': {'containsEpubBubbles': False, 'containsImageBubbles': False}, 'imageLinks': {'smallThumbnail': 'http://books.google.com/books/content?id=EgwtzwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', 'thumbnail': 'http://books.google.com/books/content?id=EgwtzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, 'language': 'en', 'previewLink': 'http://books.google.com/books?id=EgwtzwEACAAJ&dq=isbn:9780063280687&hl=&cd=1&source=gbs_api', 'infoLink': 'http://books.google.com/books?id=EgwtzwEACAAJ&dq=isbn:9780063280687&hl=&source=gbs_api', 'canonicalVolumeLink': 'https://books.google.com/books/about/The_Fall_of_N%C3%BAmenor.html?hl=&id=EgwtzwEACAAJ'}","","J.R.R. Tolkien's writings on the Second Age of Middle-earth, collected for the first time in one volume. J.R.R. Tolkien famously described the Second Age of Middle-earth as a ""dark age, and not very much of its history is (or need be) told."" And for many years readers would need to be content with the tantalizing glimpses of it found within the pages of The Lord of the Rings and its appendices, including the forging of the Rings of Power, the building of the Barad-dûr and the rise of Sauron. It was not until Christopher Tolkien published The Silmarillion after his father's death that a fuller story could be told. Although much of the book's content concerned the First Age of Middle-earth, there were at its close two key works that revealed the tumultuous events concerning the rise and fall of the island of Númenor. Raised out of the Great Sea and gifted to the Men of Middle-earth as a reward for aiding the angelic Valar and the Elves in the defeat and capture of the Dark Lord Morgoth, the kingdom became a seat of influence and wealth; but as the Númenóreans' power increased, the seed of their downfall would inevitably be sown, culminating in the Last Alliance of Elves and Men. Even greater insight into the Second Age would be revealed in subsequent publications, first in Unfinished Tales of Númenor and Middle-earth, then expanded upon in Christopher Tolkien's magisterial twelve-volume The History of Middle-earth, in which he presented and discussed a wealth of further tales written by his father, many in draft form. Now, adhering to the timeline of ""The Tale of Years"" in the appendices to The Lord of the Rings, editor Brian Sibley has assembled into one comprehensive volume a new chronicle of the Second Age of Middle-earth, told substantially in the words of J.R.R. Tolkien from the various published texts, with new illustrations in watercolor and pencil by the doyen of Tolkien art, Alan Lee.",2022-11-15,0,
